sku,_attribute_set,_type,_category,_product_websites,color,created_at,size,description,has_options,name,options_container,price,required_options,short_description,status,tax_class_id,updated_at,url_key,url_path,visibility,weight,qty,use_config_min_qty,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,use_config_enable_qty_inc,_super_products_sku,_super_attribute_code,_super_attribute_option,image,small_image,thumbnail,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
78001-3-S,Default,simple,,base,"NAVY BLUE",,S,"Delicate, long adjusted dress.",1,"MILLIE DRESS NAVY BLUE 78001-3 - S",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
78001-3-M,Default,simple,,base,"NAVY BLUE",,M,"Delicate, long adjusted dress.",1,"MILLIE DRESS NAVY BLUE 78001-3 - M",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
78001-3-L,Default,simple,,base,"NAVY BLUE",,L,"Delicate, long adjusted dress.",1,"MILLIE DRESS NAVY BLUE 78001-3 - L",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
78001-3,Default,configurable,,base,"NAVY BLUE",,,"Delicate, long adjusted dress.",1,"MILLIE DRESS NAVY BLUE 78001-3",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,78001-3-S,size,S,77f89e5a66318171cbcaa0084d5c196d.jpg,77f89e5a66318171cbcaa0084d5c196d.jpg,77f89e5a66318171cbcaa0084d5c196d.jpg,88,77f89e5a66318171cbcaa0084d5c196d.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78001-3-M,size,M,4ed318236aef4c30aaccddb33e797a66.jpg,4ed318236aef4c30aaccddb33e797a66.jpg,4ed318236aef4c30aaccddb33e797a66.jpg,4ed318236aef4c30aaccddb33e797a66.jpg,88,4ed318236aef4c30aaccddb33e797a66.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78001-3-L,size,L,,,,,,,,
78001-2-S,Default,simple,,base,WHITE,,S,"Delicate, long adjusted dress.",1,"MILLIE DRESS WHITE 78001-2 - S",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
78001-2-M,Default,simple,,base,WHITE,,M,"Delicate, long adjusted dress.",1,"MILLIE DRESS WHITE 78001-2 - M",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
78001-2-L,Default,simple,,base,WHITE,,L,"Delicate, long adjusted dress.",1,"MILLIE DRESS WHITE 78001-2 - L",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
78001-2,Default,configurable,,base,WHITE,,,"Delicate, long adjusted dress.",1,"MILLIE DRESS WHITE 78001-2",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,78001-2-S,size,S,eadd94925b9e2f4e14b0f54fdb05f137.jpg,eadd94925b9e2f4e14b0f54fdb05f137.jpg,eadd94925b9e2f4e14b0f54fdb05f137.jpg,88,eadd94925b9e2f4e14b0f54fdb05f137.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78001-2-M,size,M,2b899eb13f8699f20658a15fb1e8f5de.jpg,2b899eb13f8699f20658a15fb1e8f5de.jpg,2b899eb13f8699f20658a15fb1e8f5de.jpg,2b899eb13f8699f20658a15fb1e8f5de.jpg,88,2b899eb13f8699f20658a15fb1e8f5de.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78001-2-L,size,L,,,,,,,,
79001-5-S,Default,simple,,base,"BOOTLE GREEN",,S,"Delicate, short dress with straps.",1,"DORIANE DRESS BOOTLE GREEN 79001-5 - S",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
